,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 22:46,https://weibo.com/2658696961/MA1itg3u2?refer_flag=1001030103_,浩浩加油2001,香港全城热盼的瞩目盛事「国泰/汇丰香港国际七人榄球赛」3月31号日开锣，这是香港取消防疫措施后首个国际体育赛事，现场人山人海，无论是橄榄球迷或派对狂迷都在集体育、娱乐和炽热气氛于一身的香港七榄乐而忘返​,0,0,0
1,04月01日 22:30,https://weibo.com/2436859460/MA1bKxXNN?refer_flag=1001030103_,超超是我啦,天眼查App显示，近日，上海沐沃仕达文化艺术有限公司发生工商变更，经营范围新增体育竞赛组织；组织体育表演活动；体育赛事策划；个人互联网直播服务；营业性演出等。该公司成立于2022年3月，注册资本200万人民币，由长沙染色体娱乐集团有限公司持股70%，张艺兴为疑似实际控制人。 ​,0,0,0
2,04月01日 22:07,https://weibo.com/1736895603/MA12v3pyp?refer_flag=1001030103_,上海青浦区乐思汇公益发展中心,四月第一天，元气满满。​感谢上海政法学院、上海健康医学院、上海农林职业技术学院、上海工程技术大学、上海城建职业学院、上海师范大学和上海大学的近百名志愿者们对顾村公园地铁站樱花节志愿服务、朱家角镇“益行角里”、“角里有约”志愿服务、前滩体育公园火猩小勇士体育赛事保障服务的积极参与和大力支持。收起d,0,0,0
3,04月01日 20:17,https://weibo.com/6403960007/MA0jZ6jFN?refer_flag=1001030103_,香辣兔头饿了吗,打球喝倒彩 给对手受伤喝彩的是什么想法我觉得体育赛事因为拼搏受伤是很伟大的一件事情吧​,0,0,2
4,04月01日 19:28,https://weibo.com/2860954042/MA0042ujy?refer_flag=1001030103_,鼓楼微讯,【上新！南京四月份体育赛事推荐】2023年全国女子排球冠军赛（南京赛区）、2023江宁大学城半程马拉松、2023南京仙林半程马拉松、2023环南京都市圈自行车赛（六合站）暨大运河系列赛......四月，一批体育赛事上新！一起动起来吧～L南京发布的微博视频​, 5,0,0
5,04月01日 19:27,https://weibo.com/2054377661/MzZZGkExi?refer_flag=1001030103_,人生就像一场旅行不在乎远近,"CCTV-5+ 体育赛事 正在播放:2022/2023赛季英格兰足球超级联赛-第29轮（曼彻斯特城-利物浦）,来央视影音，观看更多电视直播！O网页链接​",0,0,0
6,04月01日 19:27,https://weibo.com/2880478330/MzZZDEVZy?refer_flag=1001030103_,六合发布,【上新！南京四月份体育赛事推荐】2023年全国女子排球冠军赛（南京赛区）、2023江宁大学城半程马拉松、2023南京仙林半程马拉松、2023环南京都市圈自行车赛（六合站）暨大运河系列赛......四月，一批体育赛事上新！一起动起来吧～L南京发布的微博视频​​​,0,0,0
7,04月01日 19:05,https://weibo.com/2097024354/MzZQNA3i6?refer_flag=1001030103_,南京发布,【上新！南京四月份体育赛事推荐】2023年全国女子排球冠军赛（南京赛区）、2023江宁大学城半程马拉松、2023南京仙林半程马拉松、2023环南京都市圈自行车赛（六合站）暨大运河系列赛......四月，一批体育赛事上新！一起动起来吧～L南京发布的微博视频​, 2, 2,9
8,04月01日 18:58,https://weibo.com/3757167087/MzZNH9RMB?refer_flag=1001030103_,西安发布,【﻿﻿﻿﻿2023“i奔跑”荧火主题夜跑（三亚站）】“i奔跑”荧火主题夜跑是陕西体育集团按照“跟着赛事去旅游”和发展“夜经济”的文旅商业融合模式打造的自主IP 体育赛事，借助良好的品牌影响力、社会美誉度和商业市场回报，全民参与热情如火，品牌形象持续向好。2021年，由陕西旅游集团联合13家省级体育产业集团发起成立的“i奔跑”全民运动联盟，更是将赛事迅速打造升格为全国标杆型文体旅融合路跑赛事。星星之火，已经燎原，4月1日，“i奔跑”荧火主题夜跑走出陕西，来到海南三亚，直播盛况、欢迎收看！#小布直播#L西安发布的微博视频收起d, 1,0,3
9,04月01日 18:24,https://weibo.com/3631208094/MzZA94S88?refer_flag=1001030103_,im游戏体育中心,6686体育赛事回顾#德甲联赛#第26轮#法兰克福1-1波鸿#上半场第13分钟#波鸿#的#浅野拓磨#率先打破僵局，浅野拓磨补射为客队先拔头筹，第22分钟#科洛穆阿尼#点球破门助#法兰克福#扳平比分，#斯托格#直接任意球攻门击中横梁。下半场双方都有进球机会，但比分就此定格，最终双方握手言和，法兰克福连续五轮不胜。收起d,0,0,1
10,04月01日 18:18,https://weibo.com/5216996026/MzZxLEUqM?refer_flag=1001030103_,北青社区报通州版,#奋进新征程潮起副中心#【转发提醒！副中心马拉松4月9日开跑，这些道路临时管制、部分公交线调整……】作为北京城市副中心今年首场大型体育赛事——北京城市副中心马拉松将于4月9日上午早8点鸣枪开跑，预计1万人参赛。北青社区报（微信号：tongzhoushequbao)记者了解到，为保障比赛活动顺利进行，日前，北京市通州区人民政府发布了《关于2023北京城市副中心马拉松对部分道路采取临时交通管制的通告》。部分道路分时段采取临时交通管控措施，60条公交线路将不同程度采取绕行甩站、区间运营、暂停运营等临时措施。详情戳：O转发提醒！副中心马拉松4月9日开跑，这些道路临时管制、部分公交线调整……收起d,0,0,2
11,04月01日 17:57,https://weibo.com/2457790840/MzZperqlZ?refer_flag=1001030103_,资阳之声,#资尽身边事#【资阳年度规模最大的青少年体育盛会开赛】3月31日，在资阳中学宽阔的运动场上，2023年资阳市中小学田径运动会火热开赛。本次比赛为期3天，是资阳市本年度规模最大、参赛人数最多、参赛水平最高的一次青少年体育赛事。竞赛设置了12个组别146个大项，涵盖小学、初中、中职和高中4个学段。来自全市60个学校、1800余名选手参赛。收起d,0,0,1
12,04月01日 17:25,https://weibo.com/2753399882/MzZcbDpXJ?refer_flag=1001030103_,若水盈盈la,国际体育赛事1 ​,0,0,0
13,04月01日 17:07,https://weibo.com/5816161945/MzZ52FJlt?refer_flag=1001030103_,北京大峰峰,《北京城市副中心马拉松4月9日起跑，这些道路将临时交通管制》 作为北京城市副中心今年首场大型体育赛事——北京城市副中心马拉松将于4月9日上午早8点鸣枪开跑，预计1万人参赛。O城市副中心马拉松4月9日起跑，这些道路将临时交通管制​,0, 2,9
14,04月01日 17:02,https://weibo.com/5426766895/MzZ2MknLd?refer_flag=1001030103_,青州广电,【#张艺兴公司新增体育竞赛组织业务#】#张艺兴公司新增个人互联网直播业务#天眼查App显示，近日，上海沐沃仕达文化艺术有限公司发生工商变更，经营范围新增体育竞赛组织；组织体育表演活动；体育赛事策划；个人互联网直播服务；营业性演出等。该公司成立于2022年3月，注册资本200万人民币，由长沙染色体娱乐集团有限公司持股70%，张艺兴为疑似实际控制人。收起d,0,0,2
15,04月01日 16:02,https://weibo.com/6100315431/MzYEDqYVx?refer_flag=1001030103_,o春来我不先开口o,#李微敖 张继科#体育赛事看得不多，但早前有次丁宁跟李晓霞争冠军时，是不是这厮下场挑事过？可不是啥好货色～知名男运动员里就那个马龙给人感觉比较稳重厚道印象好～ ​,0,0,0
16,04月01日 15:28,https://weibo.com/5652189783/MzYqEoark?refer_flag=1001030103_,海南廖孝炳,#海南体育赛事#抛下疲惫，带上冲浪板，来万宁石梅湾，在广袤无垠的大海里，体验一次与海浪搏击与驰骋在海浪上的快感会不会很刺激呢？3月24日—25日，奥运冠军一行亲临万宁石梅湾体验海南体育研学线路，并为海南体育研学代言。滑雪奥运冠军韩晓鹏、赛艇奥运冠军张杨杨、跳水奥运冠军林跃、柔道奥运冠军杨秀丽、冰壶世界冠军王冰玉、赛艇世青赛冠军徐蕊“零距离”体验海南独特的体育旅程魅力，通过体育冠军榜样的力量传递海南体育研学精神，让海南青少年体育研学品牌声誉响彻全国。@海南省旅游和文化广电体育厅#海南森林客栈#O奥运冠军现身海南万宁 为海南省青少年体育研学游“代言”收起d,0,0,0
17,04月01日 15:06,https://weibo.com/7330494637/MzYhIpIyZ?refer_flag=1001030103_,记艺APP,【记录你看过的每一场体育赛事】3月31日（当地时间）体育赛事条目更新汇总：梅德韦杰夫 2 - 1 卡恰诺夫辛纳 2 - 1 阿尔卡拉斯科维托娃 2 - 0 科斯蒂亚活塞 115 - 121 火箭老鹰 107 - 124 篮网马刺 115 - 130 勇士快船 94 - 108 灰熊湖人 123 - 111 森林狼爵士 114 - 122 凯尔特人国王 138 - 114 开拓者掘金 93 - 100 太阳尼克斯 130 - 116 骑士魔术 116 - 109 奇才公牛 121 - 91 黄蜂雷霆 117 - 121 步行者猛龙 110 - 117 76人马略卡 0 - 0 奥萨苏纳法兰克福 1 - 1 波鸿马赛 1 - 1 蒙彼利埃北京控股 104 - 89 山东高速深圳马可波罗 98 - 95 广东东莞大益青岛国信水产 102 - 92 九台农商银行TES 3 - 1 WE最全体育赛事记录，尽在记艺体育~#NBA##网球#收起d,0,0,1
18,04月01日 14:28,https://weibo.com/2312410981/MzY2t80Be?refer_flag=1001030103_,解说员-刘钟鸣,疫情后第一次来到体育赛事的现场今天首体的上座率真的很棒了南看台几乎全满2022.2.5 北京冬奥会首金的短道天团又一次合体了！#短道速滑冠军赛#L解说员-刘钟鸣的微博视频​, 1, 7,59
19,04月01日 14:22,https://weibo.com/1930802561/MzXZZ6vjQ?refer_flag=1001030103_,白兔茕茕-,短道怎么这么好看好无语 我的人生体育赛事​,0,0,0
20,04月01日 13:51,https://weibo.com/3121181885/MzXN8x3rd?refer_flag=1001030103_,内涵设计,国际体育赛事有些事，你真别看清，看清了，心痛；有些人，你真别看懂，看懂了，伤情。人生，就是一种糊涂，一份模糊，说懂不懂，说清不清，糊里糊涂，含含糊糊。人生看不惯的东西太多，看清 ​,0,0,0
21,04月01日 13:50,https://weibo.com/2938068753/MzXMMDTSM?refer_flag=1001030103_,思恋晨雨,国际体育赛事“不可能”这个字，只在愚人的字典中找得到。 ​,0,0,0
22,04月01日 13:49,https://weibo.com/5589303739/MzXMhxV0F?refer_flag=1001030103_,2018annyqq,国际体育赛事容易被辜负的，永远都是那些天真又心软的人。毕竟，好骗 ​,0,0,0
23,04月01日 13:48,https://weibo.com/5577306494/MzXM7hVKm?refer_flag=1001030103_,冬日焰火214,国际体育赛事别总说来日方长，这世上回首之间都是人走茶凉。 ​,0,0,0
24,04月01日 13:45,https://weibo.com/5854566049/MzXKSnNAt?refer_flag=1001030103_,雪亭5854566049,任何事情必须有根就好像官办体育赛事需要广泛的民间娱乐作为根基技术教育也需要对经验传递的重视和创造制造的乐趣深入人心，如果拿工人当苦力的观念不消除，如果这些工作让人痛苦对人的关怀不够，如果没有出现通过创造和制造获得大量财富的社会风潮，就不可能有真正的技术教育社会与科技真正的引领力量在于价值观的指导和源于人心的实现自我作出改变的热情，如果看不上这些软件，如果放任自流偷懒耍滑，不肯真正直面“我”，放任“我”被否认埋没，放任热情肆意横流，放弃组织引导真正的创造和改变，那么中国的上限很快就能碰得到，因为没有内在之根收起d,0,0,0
